well,treatment,t,eggs,juvs,inhibitor,stimulator,conc_inh
1E6,TRD_hsolA_AktinhIV_0uM,0,77,8,AktinhIV,TRD_hsolA,0uM
1G12,TRD_hsolA_AktinhIV_0uM,0,86,13,AktinhIV,TRD_hsolA,0uM
D6,TRD_hsolA_AktinhIV_0uM,10,NA,40,AktinhIV,TRD_hsolA,0uM
1E6,TRD_hsolA_AktinhIV_0uM,10,NA,53,AktinhIV,TRD_hsolA,0uM
1G12,TRD_hsolA_AktinhIV_0uM,10,NA,53,AktinhIV,TRD_hsolA,0uM
1D7,TRD_hsolA_AktinhIV_10uM,0,92,2,AktinhIV,TRD_hsolA,10uM
1D7,TRD_hsolA_AktinhIV_10uM,10,NA,72,AktinhIV,TRD_hsolA,10uM
1G4,TRD_hsolA_AktinhIV_10uM,0,78,9,AktinhIV,TRD_hsolA,10uM
1G4,TRD_hsolA_AktinhIV_10uM,10,NA,49,AktinhIV,TRD_hsolA,10uM
1G8,TRD_hsolA_AktinhIV_10uM,0,90,15,AktinhIV,TRD_hsolA,10uM
1G8,TRD_hsolA_AktinhIV_10uM,10,NA,62,AktinhIV,TRD_hsolA,10uM
1A9,TRD_hsolA_AktinhIV_25uM,0,72,11,AktinhIV,TRD_hsolA,25uM
1A9,TRD_hsolA_AktinhIV_25uM,10,NA,28,AktinhIV,TRD_hsolA,25uM
1B5,TRD_hsolA_AktinhIV_25uM,0,53,7,AktinhIV,TRD_hsolA,25uM
1B5,TRD_hsolA_AktinhIV_25uM,10,NA,12,AktinhIV,TRD_hsolA,25uM
1F1,TRD_hsolA_AktinhIV_25uM,0,77,3,AktinhIV,TRD_hsolA,25uM
1F1,TRD_hsolA_AktinhIV_25uM,10,NA,13,AktinhIV,TRD_hsolA,25uM
1A7,TRD_hsolA_AktinhIV_0uM,0,66,2,AktinhIV,TRD_hsolA,0uM
1A7,TRD_hsolA_AktinhIV_0uM,10,NA,63,AktinhIV,TRD_hsolA,0uM
1F12,TRD_hsolA_AktinhIV_0uM,0,87,16,AktinhIV,TRD_hsolA,0uM
1F12,TRD_hsolA_AktinhIV_0uM,10,NA,89,AktinhIV,TRD_hsolA,0uM
1G6,TRD_hsolA_AktinhIV_0uM,0,116,4,AktinhIV,TRD_hsolA,0uM
1G6,TRD_hsolA_AktinhIV_0uM,10,NA,92,AktinhIV,TRD_hsolA,0uM
D10,TRD_lsolA_AktinhIV_50uM,0,55,8,AktinhIV,TRD_lsolA,50uM
1F6,TRD_lsolA_AktinhIV_50uM,0,80,7,AktinhIV,TRD_lsolA,50uM
1G10,TRD_lsolA_AktinhIV_50uM,0,59,4,AktinhIV,TRD_lsolA,50uM
D10,TRD_lsolA_AktinhIV_50uM,10,NA,13,AktinhIV,TRD_lsolA,50uM
1F6,TRD_lsolA_AktinhIV_50uM,10,NA,15,AktinhIV,TRD_lsolA,50uM
1G10,TRD_lsolA_AktinhIV_50uM,10,NA,8,AktinhIV,TRD_lsolA,50uM
1E7,TRD_lsolA_AktinhIV_0uM,0,93,5,AktinhIV,TRD_lsolA,0uM
1F9,TRD_lsolA_AktinhIV_0uM,0,81,13,AktinhIV,TRD_lsolA,0uM
1G7,TRD_lsolA_AktinhIV_0uM,0,64,8,AktinhIV,TRD_lsolA,0uM
1E7,TRD_lsolA_AktinhIV_0uM,10,NA,69,AktinhIV,TRD_lsolA,0uM
1F9,TRD_lsolA_AktinhIV_0uM,10,NA,59,AktinhIV,TRD_lsolA,0uM
1G7,TRD_lsolA_AktinhIV_0uM,10,NA,44,AktinhIV,TRD_lsolA,0uM
1A3,TRD_lsolA_AktinhIV_10uM,0,67,2,AktinhIV,TRD_lsolA,10uM
1A3,TRD_lsolA_AktinhIV_10uM,10,NA,49,AktinhIV,TRD_lsolA,10uM
1F2,TRD_lsolA_AktinhIV_10uM,0,87,5,AktinhIV,TRD_lsolA,10uM
1F2,TRD_lsolA_AktinhIV_10uM,10,NA,77,AktinhIV,TRD_lsolA,10uM
1F9,TRD_lsolA_AktinhIV_10uM,0,88,7,AktinhIV,TRD_lsolA,10uM
1F9,TRD_lsolA_AktinhIV_10uM,10,NA,82,AktinhIV,TRD_lsolA,10uM
1A8,TRD_lsolA_AktinhIV_25uM,0,71,15,AktinhIV,TRD_lsolA,25uM
1A8,TRD_lsolA_AktinhIV_25uM,10,NA,29,AktinhIV,TRD_lsolA,25uM
1D9,TRD_lsolA_AktinhIV_25uM,0,63,4,AktinhIV,TRD_lsolA,25uM
1D9,TRD_lsolA_AktinhIV_25uM,10,NA,17,AktinhIV,TRD_lsolA,25uM
1E7,TRD_lsolA_AktinhIV_25uM,0,53,2,AktinhIV,TRD_lsolA,25uM
1E7,TRD_lsolA_AktinhIV_25uM,10,NA,20,AktinhIV,TRD_lsolA,25uM
1A12,TRD_lsolA_AktinhIV_0uM,0,73,16,AktinhIV,TRD_lsolA,0uM
1A12,TRD_lsolA_AktinhIV_0uM,10,NA,69,AktinhIV,TRD_lsolA,0uM
1C11,TRD_lsolA_AktinhIV_0uM,0,80,7,AktinhIV,TRD_lsolA,0uM
1C11,TRD_lsolA_AktinhIV_0uM,10,NA,73,AktinhIV,TRD_lsolA,0uM
1F3,TRD_lsolA_AktinhIV_0uM,0,81,13,AktinhIV,TRD_lsolA,0uM
1F3,TRD_lsolA_AktinhIV_0uM,10,NA,76,AktinhIV,TRD_lsolA,0uM
